GEMS,F850,e_F850,Re,e_Re,n,e_n,b/a,e_b/a,PA,f1,f2,RAJ2000,DEJ2000
J033315.92-280332.6,13.91,0.01,0.32,0.01,6.63,0.01,0.777,0.011,1.6,1,0,53.316325,-28.059058
J033320.37-280343.3,15.57,0.01,0.3,0.02,3.39,0.01,0.938,0.001,81.8,0,0,53.334888,-28.06204
J033321.80-280344.3,21.58,0.09,13.93,0.11,0.37,0.26,0.745,0.056,19.2,1,1,53.34085,-28.06231
J033328.07-280346.6,24.14,0.1,5.21,0.12,0.97,0.27,0.719,0.059,-50.0,1,1,53.366943,-28.062952
J033321.72-280343.0,21.13,0.32,67.08,0.35,5.36,1.02,0.558,0.054,-62.2,1,0,53.340514,-28.061939
J033328.94-280344.4,23.22,0.12,19.79,0.14,0.66,0.29,0.302,0.064,-79.3,1,0,53.370589,-28.062339
J033322.29-280341.1,23.05,0.11,14.03,0.13,1.0,0.28,0.619,0.063,-41.1,1,1,53.342879,-28.061422
J033322.24-280339.2,20.05,0.01,0.3,0.17,1.17,0.92,0.14,0.001,50.1,1,0,53.342659,-28.060898
J033323.36-280340.4,22.96,0.08,6.3,0.1,1.18,0.27,0.804,0.051,55.2,1,1,53.347315,-28.061235
J033321.92-280335.4,21.56,0.1,43.4,0.12,0.45,0.27,0.123,0.059,48.4,1,1,53.341322,-28.059825
J033319.37-280338.9,23.82,0.06,4.14,0.09,1.65,0.28,0.428,0.04,53.6,1,1,53.330728,-28.060792
J033327.82-280337.9,22.25,0.04,4.43,0.08,5.08,0.43,0.806,0.026,38.6,1,1,53.365921,-28.060533
J033318.70-280337.9,22.74,0.06,4.11,0.09,2.98,0.39,0.847,0.032,-55.6,1,1,53.327933,-28.06054
J033317.31-280336.8,23.66,0.08,5.56,0.1,1.17,0.27,0.514,0.051,-27.6,1,1,53.322142,-28.060214
J033324.62-280331.5,18.74,0.01,0.3,0.18,0.41,1.05,0.277,0.001,-30.9,0,0,53.352583,-28.058754
J033325.78-280333.4,22.01,0.12,24.1,0.14,0.89,0.29,0.583,0.064,43.2,1,1,53.357398,-28.059273
J033318.05-280335.0,23.3,0.06,4.9,0.08,1.45,0.24,0.403,0.037,-73.0,1,1,53.325203,-28.059711
J033324.54-280331.2,18.96,0.01,0.3,0.05,2.9,0.24,0.133,0.001,60.2,0,0,53.352235,-28.058679
J033319.93-280331.4,19.87,0.01,0.3,0.08,2.55,0.4,0.065,0.001,-78.5,0,0,53.333048,-28.058733
J033325.00-280331.9,22.9,0.1,10.52,0.13,1.33,0.33,0.603,0.057,39.9,1,1,53.354147,-28.058854
J033322.56-280324.0,20.35,0.11,43.84,0.14,1.22,0.32,0.643,0.061,-42.4,1,1,53.343995,-28.056665
J033316.43-280329.9,23.95,0.08,4.14,0.12,2.85,0.47,0.53,0.039,-88.2,1,1,53.318449,-28.05831
J033325.80-280327.6,23.98,0.11,7.7,0.14,1.41,0.35,0.71,0.059,63.1,1,1,53.357517,-28.057673
J033315.75-280325.3,23.09,0.09,8.37,0.14,2.92,0.56,0.456,0.043,30.7,1,1,53.315638,-28.057021
J033315.09-280324.3,22.5,0.18,25.59,0.23,2.59,0.64,0.571,0.057,-42.2,1,1,53.312878,-28.056758
J033319.94-280325.0,23.57,0.15,17.66,0.18,1.86,0.47,0.351,0.059,77.3,1,1,53.333072,-28.056933
J033324.20-280323.4,23.31,0.09,9.01,0.11,0.65,0.26,0.389,0.057,-23.2,1,1,53.350822,-28.056492
J033323.00-280323.7,23.1,0.1,11.73,0.12,0.76,0.27,0.412,0.059,76.9,1,1,53.345847,-28.056592
J033318.12-280322.6,23.87,0.11,18.33,0.13,0.98,0.28,0.121,0.061,-35.3,1,1,53.325484,-28.056269
J033322.12-280320.6,21.56,0.05,8.87,0.1,4.46,0.48,0.494,0.029,-7.4,1,1,53.342152,-28.055717
J033315.62-280320.1,21.94,0.04,5.33,0.07,4.01,0.39,0.54,0.025,-78.7,1,1,53.315095,-28.055589
J033316.71-280319.5,22.24,0.1,13.48,0.13,1.52,0.36,0.664,0.055,54.1,1,1,53.319622,-28.055415
J033326.20-280320.0,23.61,0.12,9.81,0.17,2.89,0.61,0.398,0.046,-1.3,1,1,53.359147,-28.055566
J033326.12-280319.3,23.32,0.15,18.44,0.19,2.19,0.53,0.38,0.057,-44.6,1,1,53.358846,-28.055369
J033323.17-280316.0,23.78,0.15,23.78,0.2,2.74,0.62,0.117,0.051,26.9,1,1,53.346538,-28.054452
J033328.73-280314.2,20.08,0.01,0.3,0.01,4.6,0.01,0.262,0.011,32.1,0,0,53.369722,-28.053933
J033319.77-280314.3,20.48,0.01,0.3,0.01,4.14,0.01,0.748,0.011,-72.7,0,0,53.332376,-28.053986
J033326.89-280314.0,24.0,0.1,5.76,0.12,0.86,0.27,0.668,0.059,-22.3,1,1,53.362028,-28.053883
J033323.77-280312.6,23.44,0.1,15.42,0.13,0.63,0.27,0.228,0.061,-33.1,1,1,53.349052,-28.0535
J033322.84-280312.9,22.35,0.01,0.31,0.01,8.0,0.07,0.956,0.011,-14.4,0,0,53.345183,-28.053593
J033317.32-280311.2,23.2,0.1,10.58,0.12,0.36,0.27,0.423,0.059,-51.6,1,1,53.322165,-28.053113
J033319.24-280310.7,22.61,0.12,16.63,0.14,1.26,0.33,0.61,0.061,53.8,1,1,53.330172,-28.05298
J033319.22-280311.2,24.15,0.11,6.43,0.14,1.58,0.37,0.57,0.056,75.7,1,0,53.330078,-28.053116
J033328.40-280311.5,24.14,0.1,5.43,0.14,1.87,0.42,0.569,0.052,28.8,1,1,53.368351,-28.053191
J033317.60-280306.8,23.48,0.1,10.92,0.12,0.5,0.27,0.289,0.059,-8.4,1,1,53.323313,-28.051879
J033314.63-280307.0,23.69,0.1,8.46,0.12,0.91,0.27,0.401,0.059,77.4,1,1,53.310951,-28.051946
J033328.73-280307.1,24.14,0.09,5.04,0.12,1.57,0.34,0.477,0.051,51.9,1,1,53.369707,-28.051975
